bool done,bool enable,int range_max,int range_min,bool rst_n,int sequence_value,int start_value,int step
0,1,66,-85,1,39,21,6
0,1,66,-85,1,45,21,6
0,1,66,-85,1,51,21,6
0,1,66,-85,1,57,21,6
0,1,66,-85,1,63,21,6
0,1,66,-85,1,69,21,6
1,0,66,-85,1,69,21,6
0,0,66,-85,0,0,21,6
0,0,66,-85,0,0,21,6
0,0,66,-85,1,0,21,6
0,1,-2,-94,1,0,-61,-8
0,1,-2,-94,1,0,-61,-8
0,1,-2,-94,1,-61,-61,-8
0,1,-2,-94,1,-69,-61,-8
0,1,-2,-94,1,-77,-61,-8
0,1,-2,-94,1,-85,-61,-8
0,1,-2,-94,1,-93,-61,-8
0,1,-2,-94,1,-101,-61,-8
1,0,-2,-94,1,-101,-61,-8
0,0,-2,-94,0,0,-61,-8
0,0,-2,-94,0,0,-61,-8
0,0,-2,-94,1,0,-61,-8
0,1,-49,-51,1,0,-49,-6
0,1,-49,-51,1,0,-49,-6
0,1,-49,-51,1,-49,-49,-6
0,1,-49,-51,1,-55,-49,-6
1,0,-49,-51,1,-55,-49,-6
0,0,-49,-51,0,0,-49,-6
0,0,-49,-51,0,0,-49,-6
0,0,-49,-51,1,0,-49,-6
0,1,44,30,1,0,32,5
0,1,44,30,1,0,32,5
0,1,44,30,1,32,32,5
0,1,44,30,1,37,32,5
0,1,44,30,1,42,32,5
0,1,44,30,1,47,32,5
1,0,44,30,1,47,32,5
0,0,44,30,0,0,32,5
0,0,44,30,0,0,32,5
0,0,44,30,1,0,32,5
0,1,37,13,1,0,36,-3
0,1,37,13,1,0,36,-3
0,1,37,13,1,36,36,-3
0,1,37,13,1,33,36,-3
0,1,37,13,1,30,36,-3
0,1,37,13,1,27,36,-3
0,1,37,13,1,24,36,-3
0,1,37,13,1,21,36,-3
0,1,37,13,1,18,36,-3
0,1,37,13,1,15,36,-3
0,1,37,13,1,12,36,-3
1,0,37,13,1,12,36,-3
0,0,37,13,0,0,36,-3
0,0,37,13,0,0,36,-3
0,0,37,13,1,0,36,-3
0,1,-58,-72,1,0,-65,-8
0,1,-58,-72,1,0,-65,-8
0,1,-58,-72,1,-65,-65,-8
0,1,-58,-72,1,-73,-65,-8
1,0,-58,-72,1,-73,-65,-8
0,0,-58,-72,0,0,-65,-8
0,0,-58,-72,0,0,-65,-8
0,0,-58,-72,1,0,-65,-8
0,1,69,-92,1,0,-76,6
0,1,69,-92,1,0,-76,6
0,1,69,-92,1,-76,-76,6
0,1,69,-92,1,-70,-76,6
0,1,69,-92,1,-64,-76,6
0,1,69,-92,1,-58,-76,6
0,1,69,-92,1,-52,-76,6
0,1,69,-92,1,-46,-76,6
0,1,69,-92,1,-40,-76,6
0,1,69,-92,1,-34,-76,6
0,1,69,-92,1,-28,-76,6
0,1,69,-92,1,-22,-76,6
0,1,69,-92,1,-16,-76,6
0,1,69,-92,1,-10,-76,6
0,1,69,-92,1,-4,-76,6
0,1,69,-92,1,2,-76,6
0,1,69,-92,1,8,-76,6
0,1,69,-92,1,14,-76,6
0,1,69,-92,1,20,-76,6
0,1,69,-92,1,26,-76,6
0,1,69,-92,1,32,-76,6
0,1,69,-92,1,38,-76,6
0,1,69,-92,1,44,-76,6
0,1,69,-92,1,50,-76,6
0,1,69,-92,1,56,-76,6
0,1,69,-92,1,62,-76,6
0,1,69,-92,1,68,-76,6
0,1,69,-92,1,74,-76,6
1,0,69,-92,1,74,-76,6
0,0,69,-92,0,0,-76,6
0,0,69,-92,0,0,-76,6
0,0,69,-92,1,0,-76,6
0,1,49,-56,1,0,-56,-10
0,1,49,-56,1,0,-56,-10
0,1,49,-56,1,-56,-56,-10
0,1,49,-56,1,-66,-56,-10
1,0,49,-56,1,-66,-56,-10
0,0,49,-56,0,0,-56,-10
0,0,49,-56,0,0,-56,-10
0,0,49,-56,1,0,-56,-10
0,1,20,-98,1,0,-71,-7
0,1,20,-98,1,0,-71,-7
0,1,20,-98,1,-71,-71,-7
0,1,20,-98,1,-78,-71,-7
0,1,20,-98,1,-85,-71,-7
0,1,20,-98,1,-92,-71,-7
0,1,20,-98,1,-99,-71,-7
1,0,20,-98,1,-99,-71,-7
0,0,20,-98,0,0,-71,-7
0,0,20,-98,0,0,-71,-7
0,0,20,-98,1,0,-71,-7
0,1,8,-69,1,0,-60,10
0,1,8,-69,1,0,-60,10
0,1,8,-69,1,-60,-60,10
0,1,8,-69,1,-50,-60,10
0,1,8,-69,1,-40,-60,10
0,1,8,-69,1,-30,-60,10
0,1,8,-69,1,-20,-60,10
0,1,8,-69,1,-10,-60,10
0,1,8,-69,1,0,-60,10
0,1,8,-69,1,10,-60,10
1,0,8,-69,1,10,-60,10
0,0,8,-69,0,0,-60,10
0,0,8,-69,0,0,-60,10
0,0,8,-69,1,0,-60,10
0,1,11,-23,1,0,6,10
0,1,11,-23,1,0,6,10
0,1,11,-23,1,6,6,10
0,1,11,-23,1,16,6,10
1,0,11,-23,1,16,6,10
0,0,11,-23,0,0,6,10
0,0,11,-23,0,0,6,10
0,0,11,-23,1,0,6,10
0,1,72,-90,1,0,5,-2
0,1,72,-90,1,0,5,-2
0,1,72,-90,1,5,5,-2
0,1,72,-90,1,3,5,-2
0,1,72,-90,1,1,5,-2
0,1,72,-90,1,-1,5,-2
0,1,72,-90,1,-3,5,-2
0,1,72,-90,1,-5,5,-2
0,1,72,-90,1,-7,5,-2
0,1,72,-90,1,-9,5,-2
0,1,72,-90,1,-11,5,-2
0,1,72,-90,1,-13,5,-2
0,1,72,-90,1,-15,5,-2
0,1,72,-90,1,-17,5,-2
0,1,72,-90,1,-19,5,-2
0,1,72,-90,1,-21,5,-2
0,1,72,-90,1,-23,5,-2
0,1,72,-90,1,-25,5,-2
0,1,72,-90,1,-27,5,-2
0,1,72,-90,1,-29,5,-2
0,1,72,-90,1,-31,5,-2
0,1,72,-90,1,-33,5,-2
0,1,72,-90,1,-35,5,-2
0,1,72,-90,1,-37,5,-2
0,1,72,-90,1,-39,5,-2
0,1,72,-90,1,-41,5,-2
0,1,72,-90,1,-43,5,-2
0,1,72,-90,1,-45,5,-2
0,1,72,-90,1,-47,5,-2
0,1,72,-90,1,-49,5,-2
0,1,72,-90,1,-51,5,-2
0,1,72,-90,1,-53,5,-2
0,1,72,-90,1,-55,5,-2
0,1,72,-90,1,-57,5,-2
0,1,72,-90,1,-59,5,-2
0,1,72,-90,1,-61,5,-2
0,1,72,-90,1,-63,5,-2
0,1,72,-90,1,-65,5,-2
0,1,72,-90,1,-67,5,-2
0,1,72,-90,1,-69,5,-2
0,1,72,-90,1,-71,5,-2
0,1,72,-90,1,-73,5,-2
0,1,72,-90,1,-75,5,-2
0,1,72,-90,1,-77,5,-2
0,1,72,-90,1,-79,5,-2
0,1,72,-90,1,-81,5,-2
0,1,72,-90,1,-83,5,-2
0,1,72,-90,1,-85,5,-2
0,1,72,-90,1,-87,5,-2
0,1,72,-90,1,-89,5,-2
0,1,72,-90,1,-91,5,-2
1,0,72,-90,1,-91,5,-2
0,0,72,-90,0,0,5,-2
0,0,72,-90,0,0,5,-2
0,0,72,-90,1,0,5,-2
0,1,65,-53,1,0,-7,-3
0,1,65,-53,1,0,-7,-3
0,1,65,-53,1,-7,-7,-3
0,1,65,-53,1,-10,-7,-3
0,1,65,-53,1,-13,-7,-3
0,1,65,-53,1,-16,-7,-3
0,1,65,-53,1,-19,-7,-3
0,1,65,-53,1,-22,-7,-3
0,1,65,-53,1,-25,-7,-3
0,1,65,-53,1,-28,-7,-3
0,1,65,-53,1,-31,-7,-3
0,1,65,-53,1,-34,-7,-3
0,1,65,-53,1,-37,-7,-3
0,1,65,-53,1,-40,-7,-3
0,1,65,-53,1,-43,-7,-3
0,1,65,-53,1,-46,-7,-3
0,1,65,-53,1,-49,-7,-3
0,1,65,-53,1,-52,-7,-3
0,1,65,-53,1,-55,-7,-3
1,0,65,-53,1,-55,-7,-3
0,0,65,-53,0,0,-7,-3
0,0,65,-53,0,0,-7,-3
0,0,65,-53,1,0,-7,-3
0,1,99,24,1,0,60,-3
0,1,99,24,1,0,60,-3
0,1,99,24,1,60,60,-3
0,1,99,24,1,57,60,-3
0,1,99,24,1,54,60,-3
0,1,99,24,1,51,60,-3
0,1,99,24,1,48,60,-3
0,1,99,24,1,45,60,-3
0,1,99,24,1,42,60,-3
0,1,99,24,1,39,60,-3
0,1,99,24,1,36,60,-3
0,1,99,24,1,33,60,-3
0,1,99,24,1,30,60,-3
0,1,99,24,1,27,60,-3
0,1,99,24,1,24,60,-3
0,1,99,24,1,21,60,-3
1,0,99,24,1,21,60,-3
0,0,99,24,0,0,60,-3
0,0,99,24,0,0,60,-3
0,0,99,24,1,0,60,-3
0,1,64,58,1,0,63,-7
0,1,64,58,1,0,63,-7
0,1,64,58,1,63,63,-7
0,1,64,58,1,56,63,-7
1,0,64,58,1,56,63,-7
0,0,64,58,0,0,63,-7
0,0,64,58,0,0,63,-7
0,0,64,58,1,0,63,-7
0,1,39,-11,1,0,33,-2
0,1,39,-11,1,0,33,-2
0,1,39,-11,1,33,33,-2
0,1,39,-11,1,31,33,-2
0,1,39,-11,1,29,33,-2
0,1,39,-11,1,27,33,-2
0,1,39,-11,1,25,33,-2
0,1,39,-11,1,23,33,-2
0,1,39,-11,1,21,33,-2
0,1,39,-11,1,19,33,-2
0,1,39,-11,1,17,33,-2
0,1,39,-11,1,15,33,-2
0,1,39,-11,1,13,33,-2
0,1,39,-11,1,11,33,-2
0,1,39,-11,1,9,33,-2
0,1,39,-11,1,7,33,-2
0,1,39,-11,1,5,33,-2
0,1,39,-11,1,3,33,-2
0,1,39,-11,1,1,33,-2
0,1,39,-11,1,-1,33,-2
0,1,39,-11,1,-3,33,-2
0,1,39,-11,1,-5,33,-2
0,1,39,-11,1,-7,33,-2
0,1,39,-11,1,-9,33,-2
0,1,39,-11,1,-11,33,-2
0,1,39,-11,1,-13,33,-2
1,0,39,-11,1,-13,33,-2
0,0,39,-11,0,0,33,-2
0,0,39,-11,0,0,33,-2
0,0,39,-11,1,0,33,-2
0,1,83,11,1,0,68,7
0,1,83,11,1,0,68,7
0,1,83,11,1,68,68,7
0,1,83,11,1,75,68,7
0,1,83,11,1,82,68,7
0,1,83,11,1,89,68,7
1,0,83,11,1,89,68,7
0,0,83,11,0,0,68,7
0,0,83,11,0,0,68,7
0,0,83,11,1,0,68,7
0,1,93,-88,1,0,-87,7
0,1,93,-88,1,0,-87,7
0,1,93,-88,1,-87,-87,7
0,1,93,-88,1,-80,-87,7
0,1,93,-88,1,-73,-87,7
0,1,93,-88,1,-66,-87,7
0,1,93,-88,1,-59,-87,7
0,1,93,-88,1,-52,-87,7
0,1,93,-88,1,-45,-87,7
0,1,93,-88,1,-38,-87,7
0,1,93,-88,1,-31,-87,7
0,1,93,-88,1,-24,-87,7
0,1,93,-88,1,-17,-87,7
0,1,93,-88,1,-10,-87,7
0,1,93,-88,1,-3,-87,7
0,1,93,-88,1,4,-87,7
0,1,93,-88,1,11,-87,7
0,1,93,-88,1,18,-87,7
0,1,93,-88,1,25,-87,7
0,1,93,-88,1,32,-87,7
0,1,93,-88,1,39,-87,7
0,1,93,-88,1,46,-87,7
0,1,93,-88,1,53,-87,7
0,1,93,-88,1,60,-87,7
0,1,93,-88,1,67,-87,7
0,1,93,-88,1,74,-87,7
0,1,93,-88,1,81,-87,7
0,1,93,-88,1,88,-87,7
0,1,93,-88,1,95,-87,7
1,0,93,-88,1,95,-87,7
0,0,93,-88,0,0,-87,7
0,0,93,-88,0,0,-87,7
0,0,93,-88,1,0,-87,7
0,1,59,41,1,0,42,-5
0,1,59,41,1,0,42,-5
0,1,59,41,1,42,42,-5
0,1,59,41,1,37,42,-5
1,0,59,41,1,37,42,-5
0,0,59,41,0,0,42,-5
0,0,59,41,0,0,42,-5
0,0,59,41,1,0,42,-5
0,1,85,-100,1,0,-100,7
0,1,85,-100,1,0,-100,7
0,1,85,-100,1,-100,-100,7
0,1,85,-100,1,-93,-100,7
0,1,85,-100,1,-86,-100,7
0,1,85,-100,1,-79,-100,7
0,1,85,-100,1,-72,-100,7
0,1,85,-100,1,-65,-100,7
0,1,85,-100,1,-58,-100,7
0,1,85,-100,1,-51,-100,7
0,1,85,-100,1,-44,-100,7
0,1,85,-100,1,-37,-100,7
0,1,85,-100,1,-30,-100,7
0,1,85,-100,1,-23,-100,7
0,1,85,-100,1,-16,-100,7
0,1,85,-100,1,-9,-100,7
0,1,85,-100,1,-2,-100,7
0,1,85,-100,1,5,-100,7
0,1,85,-100,1,12,-100,7
0,1,85,-100,1,19,-100,7
0,1,85,-100,1,26,-100,7
0,1,85,-100,1,33,-100,7
0,1,85,-100,1,40,-100,7
0,1,85,-100,1,47,-100,7
0,1,85,-100,1,54,-100,7
0,1,85,-100,1,61,-100,7
0,1,85,-100,1,68,-100,7
0,1,85,-100,1,75,-100,7
0,1,85,-100,1,82,-100,7
0,1,85,-100,1,89,-100,7
1,0,85,-100,1,89,-100,7
0,0,85,-100,0,0,-100,7
0,0,85,-100,0,0,-100,7
0,0,85,-100,1,0,-100,7
0,1,13,-90,1,0,-89,-4
0,1,13,-90,1,0,-89,-4
0,1,13,-90,1,-89,-89,-4
0,1,13,-90,1,-93,-89,-4
1,0,13,-90,1,-93,-89,-4
0,0,13,-90,0,0,-89,-4
0,0,13,-90,0,0,-89,-4
0,0,13,-90,1,0,-89,-4
0,1,57,-84,1,0,-36,1
0,1,57,-84,1,0,-36,1
0,1,57,-84,1,-36,-36,1
0,1,57,-84,1,-35,-36,1
0,1,57,-84,1,-34,-36,1
0,1,57,-84,1,-33,-36,1
0,1,57,-84,1,-32,-36,1
0,1,57,-84,1,-31,-36,1
0,1,57,-84,1,-30,-36,1
0,1,57,-84,1,-29,-36,1
0,1,57,-84,1,-28,-36,1
0,1,57,-84,1,-27,-36,1
0,1,57,-84,1,-26,-36,1
0,1,57,-84,1,-25,-36,1
0,1,57,-84,1,-24,-36,1
0,1,57,-84,1,-23,-36,1
0,1,57,-84,1,-22,-36,1
0,1,57,-84,1,-21,-36,1
0,1,57,-84,1,-20,-36,1
0,1,57,-84,1,-19,-36,1
0,1,57,-84,1,-18,-36,1
0,1,57,-84,1,-17,-36,1
0,1,57,-84,1,-16,-36,1
0,1,57,-84,1,-15,-36,1
0,1,57,-84,1,-14,-36,1
0,1,57,-84,1,-13,-36,1
0,1,57,-84,1,-12,-36,1
0,1,57,-84,1,-11,-36,1
0,1,57,-84,1,-10,-36,1
0,1,57,-84,1,-9,-36,1
0,1,57,-84,1,-8,-36,1
0,1,57,-84,1,-7,-36,1
0,1,57,-84,1,-6,-36,1
0,1,57,-84,1,-5,-36,1
0,1,57,-84,1,-4,-36,1
0,1,57,-84,1,-3,-36,1
0,1,57,-84,1,-2,-36,1
0,1,57,-84,1,-1,-36,1
0,1,57,-84,1,0,-36,1
0,1,57,-84,1,1,-36,1
0,1,57,-84,1,2,-36,1
0,1,57,-84,1,3,-36,1
0,1,57,-84,1,4,-36,1
0,1,57,-84,1,5,-36,1
0,1,57,-84,1,6,-36,1
0,1,57,-84,1,7,-36,1
0,1,57,-84,1,8,-36,1
0,1,57,-84,1,9,-36,1
0,1,57,-84,1,10,-36,1
0,1,57,-84,1,11,-36,1
0,1,57,-84,1,12,-36,1
0,1,57,-84,1,13,-36,1
0,1,57,-84,1,14,-36,1
0,1,57,-84,1,15,-36,1
0,1,57,-84,1,16,-36,1
0,1,57,-84,1,17,-36,1
0,1,57,-84,1,18,-36,1
0,1,57,-84,1,19,-36,1
0,1,57,-84,1,20,-36,1
0,1,57,-84,1,21,-36,1
0,1,57,-84,1,22,-36,1
0,1,57,-84,1,23,-36,1
0,1,57,-84,1,24,-36,1
0,1,57,-84,1,25,-36,1
0,1,57,-84,1,26,-36,1
0,1,57,-84,1,27,-36,1
0,1,57,-84,1,28,-36,1
0,1,57,-84,1,29,-36,1
0,1,57,-84,1,30,-36,1
0,1,57,-84,1,31,-36,1
0,1,57,-84,1,32,-36,1
0,1,57,-84,1,33,-36,1
0,1,57,-84,1,34,-36,1
0,1,57,-84,1,35,-36,1
0,1,57,-84,1,36,-36,1
0,1,57,-84,1,37,-36,1
0,1,57,-84,1,38,-36,1
0,1,57,-84,1,39,-36,1
0,1,57,-84,1,40,-36,1
0,1,57,-84,1,41,-36,1
0,1,57,-84,1,42,-36,1
0,1,57,-84,1,43,-36,1
0,1,57,-84,1,44,-36,1
0,1,57,-84,1,45,-36,1
0,1,57,-84,1,46,-36,1
0,1,57,-84,1,47,-36,1
0,1,57,-84,1,48,-36,1
0,1,57,-84,1,49,-36,1
0,1,57,-84,1,50,-36,1
0,1,57,-84,1,51,-36,1
0,1,57,-84,1,52,-36,1
0,1,57,-84,1,53,-36,1
0,1,57,-84,1,54,-36,1
0,1,57,-84,1,55,-36,1
0,1,57,-84,1,56,-36,1
0,1,57,-84,1,57,-36,1
0,1,57,-84,1,58,-36,1
1,0,57,-84,1,58,-36,1
0,0,57,-84,0,0,-36,1
0,0,57,-84,0,0,-36,1
0,0,57,-84,1,0,-36,1
0,1,42,-24,1,0,26,3
0,1,42,-24,1,0,26,3
0,1,42,-24,1,26,26,3
0,1,42,-24,1,29,26,3
0,1,42,-24,1,32,26,3
0,1,42,-24,1,35,26,3
0,1,42,-24,1,38,26,3
0,1,42,-24,1,41,26,3
0,1,42,-24,1,44,26,3
1,0,42,-24,1,44,26,3
0,0,42,-24,0,0,26,3
0,0,42,-24,0,0,26,3
0,0,42,-24,1,0,26,3
0,1,75,36,1,0,61,-6
0,1,75,36,1,0,61,-6
0,1,75,36,1,61,61,-6
0,1,75,36,1,55,61,-6
0,1,75,36,1,49,61,-6
0,1,75,36,1,43,61,-6
0,1,75,36,1,37,61,-6
0,1,75,36,1,31,61,-6
1,0,75,36,1,31,61,-6
0,0,75,36,0,0,61,-6
0,0,75,36,0,0,61,-6
0,0,75,36,1,0,61,-6
0,1,95,90,1,0,93,9
0,1,95,90,1,0,93,9
0,1,95,90,1,93,93,9
0,1,95,90,1,102,93,9
1,0,95,90,1,102,93,9
0,0,95,90,0,0,93,9
0,0,95,90,0,0,93,9
0,0,95,90,1,0,93,9
0,1,19,-97,1,0,-97,-9
0,1,19,-97,1,0,-97,-9
0,1,19,-97,1,-97,-97,-9
0,1,19,-97,1,-106,-97,-9
1,0,19,-97,1,-106,-97,-9
0,0,19,-97,0,0,-97,-9
0,0,19,-97,0,0,-97,-9
0,0,19,-97,1,0,-97,-9
0,1,-52,-54,1,0,-52,6
0,1,-52,-54,1,0,-52,6
0,1,-52,-54,1,-52,-52,6
0,1,-52,-54,1,-46,-52,6
1,0,-52,-54,1,-46,-52,6
0,0,-52,-54,0,0,-52,6
0,0,-52,-54,0,0,-52,6
0,0,-52,-54,1,0,-52,6
0,1,-95,-96,1,0,-96,8
0,1,-95,-96,1,0,-96,8
0,1,-95,-96,1,-96,-96,8
0,1,-95,-96,1,-88,-96,8
1,0,-95,-96,1,-88,-96,8
0,0,-95,-96,0,0,-96,8
0,0,-95,-96,0,0,-96,8
0,0,-95,-96,1,0,-96,8
0,1,99,79,1,0,97,-7
0,1,99,79,1,0,97,-7
0,1,99,79,1,97,97,-7
0,1,99,79,1,90,97,-7
